Scenario,Rank,User,Liquidity_USD,Days_Active,Liquidity_Share,Time_Factor,Rank_Multiplier,Base_Component,Daily_KILT,Monthly_KILT,Yearly_KILT,Effective_APR,90_Day_Accumulation,USD_Value_90_Days
BEST_CASE_EARLY_ADOPTER,1,Alice,500000,365,0.25,1.0,1.0,0.55,43.78,1313.4,15984.7,3.20%,3940.2,63.13
BEST_CASE_WHALE,2,Bob,400000,300,0.20,0.82,0.99,0.448,35.54,1066.2,12972.1,3.24%,3198.6,51.26
BEST_CASE_VETERAN,3,Carol,300000,270,0.15,0.74,0.98,0.386,30.01,900.3,10954.7,3.65%,2701.0,43.30
GOOD_CASE_BALANCED,10,David,150000,180,0.075,0.49,0.91,0.241,19.19,575.7,7004.4,4.67%,1727.1,27.67
GOOD_CASE_MEDIUM,20,Eve,100000,120,0.05,0.33,0.81,0.162,12.86,385.8,4693.9,4.69%,1157.4,18.55
AVERAGE_CASE,30,Frank,80000,90,0.04,0.25,0.71,0.124,9.87,296.1,3602.6,4.50%,888.3,14.24
AVERAGE_CASE_MEDIUM,40,Grace,60000,75,0.03,0.21,0.61,0.102,8.12,243.6,2963.8,4.94%,730.8,11.71
AVERAGE_CASE_LOW,50,Henry,50000,60,0.025,0.16,0.51,0.079,6.29,188.7,2295.9,4.59%,566.1,9.08
BELOW_AVERAGE,60,Ivy,40000,45,0.02,0.12,0.40,0.060,4.77,143.1,1741.1,4.35%,429.3,6.88
BELOW_AVERAGE_LOW,70,Jack,30000,30,0.015,0.08,0.30,0.041,3.26,97.8,1189.9,3.97%,293.4,4.70
POOR_CASE,80,Kelly,20000,20,0.01,0.05,0.20,0.026,2.07,62.1,755.5,3.78%,186.3,2.99
POOR_CASE_LOW,90,Liam,15000,15,0.0075,0.04,0.10,0.021,1.67,50.1,609.5,4.06%,150.3,2.41
WORST_CASE,100,Mary,10000,5,0.005,0.01,0.01,0.007,0.56,16.8,204.4,2.04%,50.4,0.81
WHALE_EARLY_ADOPTER,1,Zara,1000000,365,0.5,1.0,1.0,0.7,55.72,1671.6,20312.8,2.03%,5014.8,80.34
WHALE_NEWCOMER,1,Xavier,1000000,30,0.5,0.08,1.0,0.332,26.43,793.0,9647.0,0.96%,2379.7,38.14
SMALL_VETERAN,50,Vera,5000,365,0.0025,1.0,0.51,0.402,32.00,960.0,11680.0,233.60%,2880.0,46.16
SMALL_NEWCOMER,100,Noah,1000,1,0.0005,0.003,0.01,0.0013,0.10,3.0,39.0,3.90%,9.0,0.14
MEDIUM_BALANCED,25,Oscar,75000,150,0.0375,0.41,0.76,0.186,14.79,443.7,5394.9,7.19%,1331.1,21.33
EARLY_SMALL,80,Paula,8000,300,0.004,0.82,0.20,0.331,26.33,789.9,9603.4,120.04%,2370.0,38.00
LATE_LARGE,20,Quinn,200000,10,0.1,0.027,0.81,0.071,5.65,169.5,2062.3,1.03%,508.5,8.15
CONSISTENT_MEDIUM,35,Rosa,65000,120,0.0325,0.33,0.66,0.151,12.02,360.6,4386.8,6.75%,1082.0,17.34
FLASH_WHALE,5,Steve,800000,7,0.4,0.019,0.96,0.248,19.73,591.9,7199.2,0.90%,1775.7,28.46
STEADY_SMALL,95,Tina,3000,90,0.0015,0.25,0.05,0.101,8.04,241.2,2933.6,97.79%,723.6,11.60
REPLACEMENT_CANDIDATE,101,Uma,25000,100,0.0125,0.27,0.0,0.0,0.0,0.0,0.0,0.0%,0.0,0.00
EDGE_CASE_RANK_100,100,Victor,2500,180,0.00125,0.49,0.01,0.196,15.61,468.3,5697.2,227.89%,1405.0,22.53
CONSISTENT_TOP_10,8,Wendy,180000,200,0.09,0.55,0.93,0.274,21.81,654.3,7961.7,4.42%,1962.9,31.46
MODERATE_LATE_ENTRY,60,Xander,35000,21,0.0175,0.058,0.40,0.033,2.62,78.6,956.3,2.73%,235.8,3.78
BALANCED_PORTFOLIO,45,Yara,55000,105,0.0275,0.29,0.56,0.132,10.51,315.3,3835.2,6.97%,946.6,15.17
EARLY_MODERATE,15,Zoe,120000,240,0.06,0.66,0.86,0.9,71.62,2148.6,26138.0,21.78%,6446.0,103.33